id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
802,Clouds,scattered clouds,03d,stations,10000,1746086738,19800,Varanasi,200,83.0058,25.315,39.29,37.39,39.29,39.29,1006,16,1006,998,1.7,55,1.95,27,IN,1746057114,1746104285,0,0,2025-05-01 08:05:38
804,Clouds,overcast clouds,04d,stations,10000,1746087260,19800,Dehra Dun,200,78.0339,30.3244,33.18,31.47,33.18,33.18,1010,24,1010,917,1.58,99,1.98,87,IN,1746057876,1746105910,0,0,2025-05-01 08:14:20
801,Clouds,few clouds,02d,stations,10000,1746087260,19800,Koch Bihar,200,89.5229,26.4835,34.75,34.12,34.75,34.75,1009,29,1009,1003,3.34,109,4.86,13,IN,1746055454,1746102817,0,0,2025-05-01 08:14:20
803,Clouds,broken clouds,04d,stations,10000,1746087260,19800,Jaykaynagar,200,86.9833,23.6833,35.51,35.42,35.51,35.51,1008,30,1008,994,3.47,111,2.68,66,IN,1746056291,1746103199,0,0,2025-05-01 08:14:20
802,Clouds,scattered clouds,03d,stations,10000,1746087260,19800,Barddhaman,200,87.8569,23.2557,38.29,37.79,38.29,38.29,1007,23,1007,1003,0.28,249,0.63,29,IN,1746056116,1746102955,0,0,2025-05-01 08:14:20
800,Clear,clear sky,01d,stations,10000,1746087260,19800,Chunchura,200,88.4011,22.8664,36.68,36.7,36.68,36.68,1008,28,1008,1007,4.18,145,3.41,7,IN,1746056016,1746102794,0,0,2025-05-01 08:14:20
800,Clear,clear sky,01d,stations,10000,1746087260,19800,Haldia,200,88.0583,22.0253,33.97,35.38,33.97,33.97,1009,40,1009,1008,4.03,186,3.49,5,IN,1746056163,1746102811,0,0,2025-05-01 08:14:20
800,Clear,clear sky,01d,stations,10000,1746087260,19800,Howrah,200,88.3186,22.5769,35.79,35.84,35.79,35.79,1008,30,1008,1008,2.47,141,1.97,0,IN,1746056058,1746102791,0,0,2025-05-01 08:14:20
800,Clear,clear sky,01d,stations,10000,1746087260,19800,Kolkata,200,88.363,22.5626,35.43,35.53,35.43,35.43,1008,31,1008,1008,1.97,142,1.72,0,IN,1746056049,1746102779,0,0,2025-05-01 08:14:20
802,Clouds,scattered clouds,03d,stations,10000,1746087260,19800,Krishnanagar,200,88.4907,23.4058,37.26,36.81,37.26,37.26,1007,25,1007,1006,3.31,62,2.67,34,IN,1746055952,1746102815,0,0,2025-05-01 08:14:20
802,Clouds,scattered clouds,03d,stations,10000,1746087261,19800,Siliguri,200,88.4285,26.71,34.99,33.9,34.99,34.99,1009,26,1009,987,3.05,116,3.51,45,IN,1746055698,1746103099,0,0,2025-05-01 08:14:21
